Company,YearFounded,HQCountry,Revenue_MUSD,EBITDA_Margin_pct,Net_Profit_MUSD,Cash_Burn_MUSD,Runway_months,Valuation_MUSD,Employees,Annual_Turnover_pct,Unicorns_In_Captivity,Avg_Horn_Sparkle_Score_1_10,Glitter_Emissions_tons,Rainbow_Energy_Usage_MWh,Pastel_Branding_Index_1_100,ESG_Score_1_100,CO2e_per_Unicorn_ton,Magic_Dust_Recycling_Rate_pct,Employee_Happiness_1_10,Remote_Work_pct,Diversity_Index_1_100,Incidents_of_Unicorn_Rampage,Meme_Virality_Score_1_100
RainbowRanch Labs,2016,Netherrealm,42.5,18.2,7.3,3.1,18,780.0,180,8.0,42,9.1,2.3,410,92,88,1.2,76,8.7,65,84,1,91
SparkleHoof Holdings,2018,Cloudtopia,35.2,12.5,3.4,5.0,11,650.0,140,15.0,35,8.4,1.7,320,89,81,1.8,69,8.1,72,79,3,88
Prismatic Pastures,2014,Fabeland,58.9,21.0,11.2,4.0,22,1020.0,230,9.0,57,9.5,3.1,530,95,91,0.9,83,9.2,55,90,0,96
NebulaHorn Collective,2019,Orbital Meadows,27.8,6.5,1.2,6.8,9,540.0,120,22.0,29,8.0,1.1,280,86,77,2.5,61,7.5,88,73,4,82
GlitterGallop Ventures,2017,Glimmeria,49.3,16.8,8.0,4.5,15,890.0,195,12.5,48,9.0,2.6,460,91,86,1.4,78,8.9,60,87,2,90
AuroraMane Sanctuary,2013,Northlight Reach,31.7,19.3,6.1,2.2,24,620.0,160,6.0,33,9.3,1.4,350,94,93,0.7,89,9.4,40,92,0,89
Starlight Stableworks,2015,Twilight Plains,38.4,14.1,5.0,3.9,17,710.0,175,10.0,39,8.7,2.0,395,90,85,1.6,74,8.5,68,83,1,86
Cloudstepper Biomes,2020,Skyshore,19.6,-4.0,-1.8,8.5,7,480.0,95,18.0,21,7.8,0.9,230,82,74,3.1,58,7.2,92,71,5,80
MythicMeadow Co,2012,Old Vale,64.1,23.5,15.0,3.8,26,1150.0,260,7.0,63,9.6,3.6,560,96,94,0.6,91,9.5,38,94,0,97
OpalHoof Farms,2011,Opaline Fields,29.9,11.0,3.0,2.7,20,560.0,150,11.0,31,8.3,1.5,345,88,83,1.9,72,8.0,52,81,2,84
CosmicCarrot & Unicorn Co,2016,Vegastral Belt,22.4,8.2,1.8,3.3,14,520.0,130,13.5,27,8.1,1.3,310,87,80,2.1,67,8.2,70,78,3,83
LuminousCanter Industries,2010,Radiant Dales,71.2,24.8,17.6,4.1,28,1280.0,280,5.5,70,9.7,3.9,590,97,95,0.5,93,9.6,36,95,0,98
